Utterance,Emotion,Conscientiousness,Openness,Extraversion,Neuroticism,Agreeableness,Speaker
"Oh my God, oh my God! Poor Monica!",,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hey, this isn't about juice anymore, alright man.",anger,0.489,0.574,0.297,0.56,0.552,Joey
Any sign of your brother?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, I know. Hold on.  Hey Ross?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"You ah, you forgot your shoes.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Maybe.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Save it.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"This actor friend and he would kill me if he thought I was doing this umm, but umm would it be possible for him to get an audition for your movie say on Thursday?",fear,0.48,0.648,0.521,0.477,0.66,Chandler
That s easy! You just have to think of him as a-as a jar of pickles that won t open.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
OK.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Hey.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
I can t believe it.  Can I tell you something? I m a little mad at him now.,anger,0.457,0.722,0.6,0.455,0.46,Ross
"And I will cook anything you want in here , and do anything in there!",fear,0.48,0.648,0.521,0.477,0.66,Chandler
"He s not gonna make it, he s stuck in Chicago.",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
That s not mine.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I m kidding!,sadness,0.354,0.713,0.386,0.511,0.533,Monica
I guess I was just so worried about having to...    come here and do... 'that'...,surprise,0.48,0.648,0.521,0.477,0.66,Chandler
I have to be up in seven minutes.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Okay.  What?! What are you doing here?!,,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, you go!",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Okay. But not about this!,anger,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, honey, the earrings",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Shielding your face and shrieking like a girl... is not a backhand.,disgust,0.457,0.722,0.6,0.455,0.46,Ross
"Monica, let's go. Come on now people, woman in labor.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Uhhh.. y'know what? Forget about me. Let's, uh... let's give you another turn.",fear,0.489,0.574,0.297,0.56,0.552,Joey
Why not?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Oh yeah right there!,joy,0.354,0.713,0.386,0.511,0.533,Monica
You didn't even take off your pants.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, I did!",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"But um, I don t think it s anything serious.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
I'm not fine. Here she comes.,fear,0.48,0.648,0.521,0.477,0.66,Chandler
"Yeah, the ah, trees that don't fulfil their Christmas destiny are thrown in the chipper.",surprise,0.489,0.574,0.297,0.56,0.552,Joey
Okay to come in?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Ohh!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
What s that?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Well you didn't hang up either.,joy,0.457,0.722,0.6,0.455,0.46,Ross
Now I can t believe it! What? Rachel s pregnant?  Who s the father?,,0.489,0.574,0.297,0.56,0.552,Joey
What s the matter?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, get ready to see some beggin !",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Ok.  Ok. Having a phone has finally paid off.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Why? Is it because I'm friends with Phoebe?,fear,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, so now do you believe that she's attracted to me?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
They want me to be totally naked in the movie!,,0.489,0.574,0.297,0.56,0.552,Joey
"Hey, who's this little naked guy?",,0.614,0.635,0.457,0.469,0.58,Rachel
Uh-huh. Uh-huh.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Yeah?,fear,0.457,0.722,0.6,0.455,0.46,Ross
Ew.,disgust,0.489,0.574,0.297,0.56,0.552,Joey
"Umm, do health inspectors work on commission?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Yeah.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"It s-it s, they re-they re wearing it in Milan, so part of my job is too wear the clothes, and then I see how people respond, and then I report back to my superiors at",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
GET OUT NOW!!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
What is the thing?,surprise,0.48,0.648,0.521,0.477,0.66,Chandler
You gotta help me out with a couple more boxes!,surprise,0.354,0.713,0.386,0.511,0.533,Monica
Why?,,0.489,0.574,0.297,0.56,0.552,Joey
No! Don t say that! Don t say that!,fear,0.614,0.635,0.457,0.469,0.58,Rachel
"Uh-huh. Yeah, I-I have a knack for impressions.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Okay, I got that. I ll escape over there. I ll come back over here. All right, come on",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Well, I'm totally over it Chandler. Friends forever! Don't come out here!",anger,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, hey, how about this one. Ah, it's says so in the script! Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch.",anger,0.489,0.574,0.297,0.56,0.552,Joey
"That s a uh, that s a tough combination.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Yeah?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, but be careful okay, because I wanna get our security deposit back.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
Nooo!! She's really dull! And she gets this gross mascara goop thing in the corner of her eye!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
"I-I-I m sorry, your-your mouth was full, I didn t hear what you said. Umm, hats off to who now?",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"What the smell from Joey s? No, I can hardly smell it over here.",,0.375,0.6,0.31,0.356,0.545,Phoebe
This game is kinda fun.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
What s this?,,0.354,0.713,0.386,0.511,0.533,Monica
All that time Monica spent on the phone with sad Linda from camp!,,0.375,0.6,0.31,0.356,0.545,Phoebe
"No, come on don t start.  Ouch!",joy,0.457,0.722,0.6,0.455,0.46,Ross
No. But I was showing him some cufflinks and I felt his pulse.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
What? I didn't say anything.,fear,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, Pheebs! It's Joey!",joy,0.489,0.574,0.297,0.56,0.552,Joey
Wow! You re a lot sturdier that Chandler. He crumpled like a piece of paper. So how was you re trip?,,0.354,0.713,0.386,0.511,0.533,Monica
There's something new in the bowl.,,0.457,0.722,0.6,0.455,0.46,Ross
Huuh.,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
What are you doing tonight?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
He's planning your birthday party.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
What?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Look at that guy by the window, wow!",,0.614,0.635,0.457,0.469,0.58,Rachel
"Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything.",fear,0.614,0.635,0.457,0.469,0.58,Rachel
Ohh. . .K. How come?,fear,0.375,0.6,0.31,0.356,0.545,Phoebe
"Well I do, but uh, Eddie makes them this way and, well they're pretty darn good.",fear,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh-oh-oh, yeah!  That's right, you take good care of those babies!",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Well, I m upset for you. I mean, having sex with an endless line of beautiful women must be very unfulfilling for you.",disgust,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, I thought you weren't coming. What? Where were you?",fear,0.375,0.6,0.31,0.356,0.545,Phoebe
What?,fear,0.457,0.722,0.6,0.455,0.46,Ross
Hi Jill!,joy,0.457,0.722,0.6,0.455,0.46,Ross
That was amazing.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
What?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Hi!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"This is so wild. Ya know, I gotta admit, I was kinda surprised that you agreed to go on a blind date.",joy,0.354,0.713,0.386,0.511,0.533,Monica
I don't know.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Mrs. Braverman must be out.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"David, can you help me?! I'm trying to explain to Chandler how a plane stays in the air.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
You really think so?,joy,0.489,0.574,0.297,0.56,0.552,Joey
Everyone knows I m an ass man!,joy,0.489,0.574,0.297,0.56,0.552,Joey
I don t have the money to take her to a fancy place like that.,anger,0.489,0.574,0.297,0.56,0.552,Joey
"Uhh, are you saying that you're not entirely happy about this?",,0.489,0.574,0.297,0.56,0.552,Joey
"Yes, and I was saying the actual words.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Hey, what time is it?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, uh does anyone know where the Freeman building is?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
I m not crazy about babies. I m crazy about us.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Is this about Mark?,fear,0.457,0.722,0.6,0.455,0.46,Ross
"Well I m sorry, I thought you said it was okay.",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
No! No! It s-it s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ahh, toilet seat covers! Is that what you were doing while I was getting gas?",fear,0.375,0.6,0.31,0.356,0.545,Phoebe
Cat.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Ooh, oh no! I have to go! I have a massage appointment.",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"I know! I know, and I've only been playing for like an hour!",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Janice I didn t even know you were pregnant! Who s the unwitting human who s essence you ve stolen?,,0.48,0.648,0.521,0.477,0.66,Chandler
"So, you and Angela, huh?",joy,0.489,0.574,0.297,0.56,0.552,Joey
It s clearly an Emma.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Goodnight,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Wow! You do?,,0.375,0.6,0.31,0.356,0.545,Phoebe
"Look now, Phoebe remember, hey, their just fulfilling their Christmas....",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Unless you wanna practice the Foxtrot again? Or-or the Tango?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"You know what honey, you go ahead, we ll call her an alternate.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
I totally forgot about tonight and the fact that we re supposed to,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Do you like car games?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ohh, what is in that?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"But no, because a doctor won t be able to help him, it s just gonna y know naturally pass through his system in like seven years.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"No, no, that-that, that s all right. Umm, I m just glad you called.",joy,0.457,0.722,0.6,0.455,0.46,Ross
We should do something. Whistle.,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, now it's a spare room?",anger,0.489,0.574,0.297,0.56,0.552,Joey
Haven t you and I covered that topic?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
So take care.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
I heard it from my friend Irene who heard it from some guy!,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, it throws my WENUS out of whack.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
Oh that makes me feel so warm in my hollow tin chest.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, the part's mine if I want it.",joy,0.489,0.574,0.297,0.56,0.552,Joey
"So how does this work, you going to balance the plates on these little guys' heads?",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Look, this is my home and I want to be able to come and go whenever I want!",anger,0.457,0.722,0.6,0.455,0.46,Ross
I like that.,joy,0.457,0.722,0.6,0.455,0.46,Ross
Hi! It's me.,joy,0.457,0.722,0.6,0.455,0.46,Ross
It's Chandler! Are you OK?,fear,0.354,0.713,0.386,0.511,0.533,Monica
"You have to give 'em something, you know. Okay, now that was Gerston, Santos, and who's the guy with the moustache?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Knock, knock, knock.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"That's okay, this is more important than fruit on my ceiling! You broke up?!",anger,0.354,0.713,0.386,0.511,0.533,Monica
"Rach, these are for you.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Hey!,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
He asked you out?!,,0.354,0.713,0.386,0.511,0.533,Monica
Hey!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"No-no-no, I think I m gonna see how things go with Kathy. She s pretty cool.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Jen, I know this may sound a little  But uh, would you maybe wanna grab a cup of coffee sometime, or",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Um, um, Rachel can we talk for a sec?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Good.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Well y know what they say, the 23",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
What are you doing?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Wow! Look at that, Chip Matthews called. I wonder what he wants?",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh uh, as it turns out, we can t do it. Monica has to work.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
What?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"And so I wanted to read every word carefully, twice!",joy,0.457,0.722,0.6,0.455,0.46,Ross
Is it better than the other salmon mousse?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
I can t believe we have to stop seeing each other.,surprise,0.457,0.722,0.6,0.455,0.46,Ross
"No-no, sorry. Cookies are good, thanks.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What are you talking about alone? What about Ross?,,0.489,0.574,0.297,0.56,0.552,Joey
"Doing great, the quiches are coming along.",joy,0.354,0.713,0.386,0.511,0.533,Monica
I'm gonna pay for that tonight.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
No! They are mine!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Hi.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
What?! How's that?,anger,0.457,0.722,0.6,0.455,0.46,Ross
"Joey, some people don't like that.",anger,0.457,0.722,0.6,0.455,0.46,Ross
Okay.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Who would you rather sleep with Monica or Rachel?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Very good! Okay. G.,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Yep. Hey, what do you say we make it a double feature?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
": Step away from the crib,    I have a weapon!",anger,0.614,0.635,0.457,0.469,0.58,Rachel
"I'm just calling to say that um, everything's fine and I'm really happy for you and your",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Give me your hands.  Strings. Gimme it!  Pick. Do you want to learn to play guitar?,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"All right let me see.  Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Clogs.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
I can t live like this! What are we gonna do? What are we gonna do?,fear,0.354,0.713,0.386,0.511,0.533,Monica
"Yes, I do.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Can't help you, I'm not wearing any.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Hey, did I do these neat enough?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, oh, oh, I ll get  Rainy Day Bear !!",joy,0.614,0.635,0.457,0.469,0.58,Rachel
They'll see you talking to me and that's--I'm a hit!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, that s, that s ah, one of the old ones, he s just taking it to the back.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
What?!,,0.48,0.648,0.521,0.477,0.66,Chandler
We should do something. Whistle.,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
I don t know exactly.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
What's goin' on?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, thank you. Hey, hey. Rachel!!!!",fear,0.457,0.722,0.6,0.455,0.46,Ross
But having a dove place the ring on your finger would ve been no problem?,anger,0.457,0.722,0.6,0.455,0.46,Ross
Uh-oh.,fear,0.489,0.574,0.297,0.56,0.552,Joey
Yeah.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
You'd tell me if you were moving out right,fear,0.489,0.574,0.297,0.56,0.552,Joey
"Um, well, Max told me about Minsk, so congratulations! This is so exciting!",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Mr. Bigot. He tells the most,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Really?!,,0.489,0.574,0.297,0.56,0.552,Joey
"Guys! Guess what, guess what, guess what, guess what!",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"In fact, I have some time right now.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
That s a mailman! That s,,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, right, OK. Ole.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
So you re not homesick yet?,,0.375,0.6,0.31,0.356,0.545,Phoebe
Really?!,,0.354,0.713,0.386,0.511,0.533,Monica
"No. No, I m Joey Tribbiani; we did a scene together yesterday. I-I m the guy in the coma!",joy,0.489,0.574,0.297,0.56,0.552,Joey
"I m telling you man, I saw it.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"What am I gonna do, huh?",fear,0.48,0.648,0.521,0.477,0.66,Chandler
Just act like you belong.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Y'know Marcel?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Don't answer that.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
All right.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Save it Red! Unless you wanna spend the night in the slammer, you apologize to the tree.",disgust,0.375,0.6,0.31,0.356,0.545,Phoebe
What? Why? Where are you?,,0.614,0.635,0.457,0.469,0.58,Rachel
"Joey come I can t believe I bring you here to see the Bapstein-King comet, one of nature s most spectacular phenomenon, and all you care about are bugs stuck in tar and-and some woman!",anger,0.457,0.722,0.6,0.455,0.46,Ross
But I'm not! . You know what if you're in the mood for    Thai food...,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Awful! Horrible!,anger,0.489,0.574,0.297,0.56,0.552,Joey
And you weren't going to tell us? How did you think you were    gonna get away with that?,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Uh-huh, well! But umm, still I m-I m mad at you.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
That s right! That s right!,joy,0.457,0.722,0.6,0.455,0.46,Ross
NO!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Y know, I m not gonna play anymore,  would you, can you finish my set?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh! Right. Umm, maybe that s because I didn t send him an invitation.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
So now I have to go so he'll think that I'm totally ok with seeing him!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Sounds nice.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Ah, the forbidden love of a man and his door.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Know when to stop.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
So? What? What? They re gone! Monica s gonna freak!,,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, maybe you don't need them.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Hello, people who do not live here.",anger,0.354,0.713,0.386,0.511,0.533,Monica
New people.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh, I found him. He was Paolo's cat.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah? Are you sure, really.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Like a pirate?!,fear,0.354,0.713,0.386,0.511,0.533,Monica
"Well, so, umm, anyway umm, I ve been, I ve been looking for my Father, and umm, have you heard from him, or seen him?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Probably kill myself!,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"So what the hell happened to you in China? I mean, when last we left you, you were totally in love with, you know.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
When did I sign for it?,anger,0.354,0.713,0.386,0.511,0.533,Monica
"Well, I-I gotta go break up with Bonnie.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
oooooooooooooohhhhhhhhhhh,,0.489,0.574,0.297,0.56,0.552,Joey
But I'm the host!,,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, come on in. Molly?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"It's okay. Chandler, are you afraid of me or something?",sadness,0.354,0.713,0.386,0.511,0.533,Monica
What?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, it was an accident...You know, it's a lot of oil and sometimes    the hand just slips!",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What?!,,0.489,0.574,0.297,0.56,0.552,Joey
Did you go home and change?,,0.354,0.713,0.386,0.511,0.533,Monica
Oh! Do you need me to go with you?,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, you guys! Look what I found! Look at this! That's my Mom's writing! Look.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Oh my!,,0.489,0.574,0.297,0.56,0.552,Joey
Hey.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Mailbox.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
I can see that. A plate of brownies once told me a limerick.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"But,  you ve got one more apology to make, all right, you ve got to apologize to Mary-Angela.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Uh, I m just, I m just looking out your window. At-at the view. What are you guys doing?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
I can't believe this.,fear,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, okay. Will you take my place?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Hero, I uh, I don t know well, all right.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh-whoa-hey, dude, what are you doing?!",,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, well I do know you.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
I know! Phoebe is gonna love dressing them in these!,joy,0.354,0.713,0.386,0.511,0.533,Monica
Ah....,sadness,0.457,0.722,0.6,0.455,0.46,Ross
You still work at the multiplex?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Umm, well I would have to say that it's a, it's tragic love story.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"I don't know, you don't wanna mess with corn nuts. They're craaazy.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
What?,,0.489,0.574,0.297,0.56,0.552,Joey
Together? Like-like to people?,,0.457,0.722,0.6,0.455,0.46,Ross
I came with Paul!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Ohhh, I",sadness,0.354,0.713,0.386,0.511,0.533,Monica
I'm not a dropper!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
No!! You can't!!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
Phoebe?,fear,0.354,0.713,0.386,0.511,0.533,Monica
"Oh right, right.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh-oh, you lie.",disgust,0.614,0.635,0.457,0.469,0.58,Rachel
Yeah?,,0.457,0.722,0.6,0.455,0.46,Ross
Who said you were?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What about this?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"No, don t look directly at them!",fear,0.375,0.6,0.31,0.356,0.545,Phoebe
"This is the unit for you my friend. Sturdy construction, tons of storage compartments, some big enough to fit a grown man.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, um, oh, the zoo commercial.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Great soap opera acting tonight everybody, class dismissed.",joy,0.489,0.574,0.297,0.56,0.552,Joey
Interesting.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Okay, yeah, so it's not gonna work.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
I have a bone to pick with you.,anger,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, are you sure you're ok?",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
"Y'know what Gunther, go ah, go ahead, I m-I m talking to ah, .  This is the part where you say your name.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Chandler, what kind of an idiot do you take me for?",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Well, not much has changed in the last five minutes.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Guys thank you very much but neither of you is marrying us.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, You could, but... probably just the one time.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
Yeah.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"All right, all we need is a little lighter fluid.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Wait, Rach! Where's the other one?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"I know, I know I really like you too. But we-we can t date. It s against the rules. It s forbidden.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, I don't know, a million?",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh Mon, I laughed so hard",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What is it?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
I can't remember the last time I got a girl to take care of my monkey.,surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"The kid...?  Excuse me, uh, that's, that's my puck.",anger,0.457,0.722,0.6,0.455,0.46,Ross
Hi.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Whoa! Are you okay?,,0.354,0.713,0.386,0.511,0.533,Monica
She's not even here yet.,fear,0.457,0.722,0.6,0.455,0.46,Ross
"So, just tell me the truth!",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
